time_ms,force_N
110,100.69315574957128
190,130.9486180093098
300,153.75491659056993
380,168.90358359874386
491,188.8946747143589
570,214.1825430410477
680,233.41905164925723
760,248.2251720528297
870,265.49771709837637
950,282.8388605536872
1061,298.34878282367094
1140,311.8893962003608
1250,325.54537962983585
1330,342.3083364885632
1441,362.31279093075574
1521,381.4423929263458
1631,400.9635403906546
1711,424.6135103231698
1821,447.4336176752266
1901,465.8865899017796
2011,484.7765429074145
2091,503.18764337735814
2201,523.5845341767078
2281,542.7185906144904
2391,550.3927036236888
2471,548.3690505356468
2581,540.053943294951
2661,502.33595403015664
2770,382.19608454531283
2851,297.14652887592155
2960,292.87293703645963
3041,296.07924452660416
3150,298.27038464108335
3231,299.4236397247155
3341,300.6049577941602
3422,301.48782823670905
3531,301.8517561638344
3612,301.45976525089645
3720,300.39648989955236
3821,298.97106839795987
3897,298.7251831889352
3992,298.2432125437092
4090,297.1304928840286
4191,296.72246597919775
4290,297.11802044588967
4391,297.4694759348761
4467,299.34390520947017
4562,302.3359540301566
4661,303.8705093654647
4761,304.4188511993586
4860,304.58010200672624
4961,304.6487004164904
5038,305.9992872892492
5133,313.7232900510034
5231,336.63649524488295
5330,373.08274126372527
5431,416.6837123321232
5530,449.211385554244
5608,480.46241564400106
5703,503.71104033497414
5801,519.8641840575515
5901,542.5707031337001
6000,564.3934608788616
6101,584.8576137553176
6178,602.8482148822915
6273,618.4610347669214
6371,628.4407670549456
6470,636.889953005635
6571,650.5049555669392
6670,665.5970511592686
6749,675.150493329473
6844,683.5805251787345
6940,696.0413817679682
7040,708.9637185683424
7140,719.9514911245241
7241,731.9210227399275
7319,741.8856099244973
7414,748.8296398583489
7511,755.5977193255976
7610,765.9921601817414
7710,775.0021604044634
7810,781.6490790440768
7889,789.3267556070292
8000,796.4703445511037
8079,802.4303882046372
8190,808.3516782110961
8269,817.7305062473553
8381,827.9552328559657
8459,836.836054255106
8570,845.3088487494155
8650,857.868593955322
8761,870.3646406378763
8840,881.3207866544913
8950,890.6256709503554
9030,896.3233479587519
9140,902.8121339005324
9220,914.1041448584602
9330,925.2420321165283
9410,935.9505111472417
9520,945.862090469721
9600,947.3191385108801
9711,947.392636807056
9790,950.8114211897816
9901,957.3064433506315
9980,965.505735094323
10091,971.9989754782958
10170,981.2486246909732
10280,996.3594289405111
10360,1009.1663956881001
10471,1014.8658544733737
10551,1019.4851110269718
10661,1032.5254905454465
10741,1044.852713868906
10851,1053.65424619702
10931,1066.7427336911737
11040,1081.5118822245486
11121,1091.1958395509923
11230,1100.7185460700684
11311,1110.540591104479
11421,1117.87572106283
11501,1123.2451056816412
11611,1127.1583331477318
11691,1130.7891489788192
11801,1136.6877213300966
11881,1145.6393683600973
11991,1150.934363794294
12071,1153.958039154547
12180,1160.7693267110628
12262,1170.427002828571
12370,1179.8240940778192
12452,1185.4148644735965
12561,1185.5765607251833
12661,924.9761019176375
12737,210.63101628098622
12832,2.9782845943116767
12931,0.9417136239114451
13031,0.5880309138288152
13131,0.5421501592463078
13230,0.7394819483730144
13307,0.5800129178823575
13402,0.713646183656651
13501,0.822780017372324
13601,0.7488362769772149
13700,0.6927103053520117
13782,0.6664290964164007
13890,0.8330252344150197
13972,0.8584155549121355
14081,0.7719993763780925
14163,0.7595269382391584
14271,0.7902625893672459
14370,0.7595269382391584
14448,0.9123143054411006
14543,0.9648767233123227
14641,0.8619791086661167
14741,0.7862535913940171
14840,0.7523998307311961
14940,0.9020690883984047
15018,0.8838058754092513
15113,0.8432704514577156
15211,0.7724448205973401
15311,0.8503975589656779
15410,0.8606427760083738
15510,0.862869997104612
15588,0.8588609991313831
15683,0.8855876522862419
15780,0.9301320742110063
15880,0.8659881066393456
15980,0.8699971046125743
16081,0.8869239849439848
16159,0.8535156685004115
16254,0.8833604311900036
16350,0.8784605447782796
16450,0.8477248936501921
16550,0.8838058754092513
16650,0.8998418673021665
16729,0.8441613398962109
16824,0.8664335508585932
16920,0.8735606583665555
17020,0.7942715873404748
17120,0.6054032383794733
17220,0.8076349139179041
17300,1.2806966747589028
17410,0.8187710193990951
17490,0.89538742510969
17601,0.9483952872001598
17680,0.7768992627898166
17791,0.9256776320185299
17870,0.7483908327579673
17981,0.7960533642174653
18060,0.8325797901957721
18170,0.9684402770663038
18250,1.0174391411835446
18360,0.9907124880286861
18440,1.0757923339049862
18551,0.9163233034143293
18630,0.8401523419229822
18740,0.8593064433506309
18820,0.896723757767433
18930,0.8695516603933267
19010,0.8882603176017277
19120,0.9011781999599094
19201,0.915432414975834
19311,0.8909329829172136
19391,0.7550724960466819
19500,0.8557428895966497
19581,0.9590859484621033
19690,0.9212231898260534
19771,0.7960533642174653
19881,0.8722243257088126
19980,0.9524042851733886
20056,0.9140960823180911
20151,0.8833604311900036
20250,0.8762333236820413
20350,0.8717788814895648
20450,0.9198868571683105
20531,0.949286175638655
20641,0.929241185772511
20740,0.876678767901289
20817,0.8481703378694397
20912,0.9172141918528246
21010,0.9697766097240468
21110,0.9261230762377776
21211,0.8486157820886874
21292,0.8579701106928879
21401,0.9140960823180911
21482,0.9448317334461787
21591,0.8971692019866806
21691,0.8646517739816025
21767,0.8922693155749566
21862,0.9439408450076834
21960,0.9746764961357708
22060,0.9417136239114451
22160,0.8762333236820413
22242,0.8526247800619162
22350,0.8789059889975273
22433,0.9158778591950817
22540,0.8940510924519471
22640,0.8610882202276214
22718,0.8748969910242984
22813,0.9096416401256147
22911,0.9270139646762728
