time_ms,force_N
98,61.75331299138066
198,70.36597697053388
298,75.93046615737545
380,75.27343593398517
488,72.40566605046884
570,53.930867057172776
678,21.661996926434888
760,8.361923428138711
868,8.614935744671374
950,8.422949286175639
1058,6.901311833225685
1140,6.655872068420232
1248,8.851021180872625
1330,11.784271364618366
1438,15.8534043074456
1538,10.305842000935433
1615,5.028664335508585
1710,4.46606828659881
1808,7.214459119356778
1908,29.697365197443155
2008,70.92456402147042
2108,106.73070669725385
2186,130.48580146551149
2281,141.55419942537696
2378,150.17755406579212
2478,143.46248246063388
2577,121.92792712532572
2678,123.0700461034767
2756,156.3536381656607
2851,194.07296376311277
2948,218.43698077908195
3048,228.48887503062429
3148,233.94645760484644
3248,247.1489788191274
3326,260.55239537628904
3422,271.0751241675761
3518,282.3631261275307
3617,290.21318960333195
3718,294.8177464976948
3818,300.4165348894185
3897,306.8883939508675
4008,313.22394708122675
4087,317.61201808503534
4182,320.1577317980356
4278,323.4901000022272
4378,330.6831332546382
4478,337.83474019465916
4577,340.8633154413239
4657,343.67095035524176
4768,347.78730038530927
4847,354.7651840798236
4958,360.2846834005212
5037,363.21926991692465
5148,367.65723067328895
5227,373.94066682999625
5338,380.90340542105616
5417,387.3053297400833
5528,391.0194436401702
5607,393.66850041203594
5718,397.915365598343
5798,402.99743869573933
5908,408.5258469008219
5988,413.83153299628054
6098,418.89979732288026
6178,422.99342969776615
6288,425.81977326889245
6368,428.65769838971914
6477,432.2996503262879
6558,435.04848660326513
6669,437.4881845920845
6748,440.7773447070091
6858,445.13022561749705
6938,450.1753268446959
7048,453.8154970043877
7128,459.1545914162899
7238,465.67589478607545
7318,471.13793180249013
7428,475.1718746519968
7508,480.284237956302
7617,485.1796699258336
7699,490.02209403327475
7808,495.48279471703165
7889,498.14298759437855
7998,499.8027127552953
8079,503.38675694336183
8188,509.0443439720262
8288,512.6519967037128
8364,514.0181741241454
8459,517.2520991558833
8558,522.5497672553955
8658,529.033207866545
8758,535.6155370943675
8839,536.5959598209315
8948,538.4699436513064
9029,542.4419697543376
9138,544.0553687164526
9219,435.593264883405
9328,108.27862535913941
9409,2.2027662086015276
9518,0.6811287556515729
9600,0.6512839929619807
9708,0.6312390030958367
9790,0.6655382079779054
9898,0.6575202120314477
9997,0.6454932181117614
10075,0.645938662331009
10170,0.6691017617318865
10268,0.6521748814004761
10367,0.7987260295329511
10468,0.80273502750618
10568,0.8085258023563994
10645,0.6526203256197237
10740,0.739927392592262
10838,0.8348070112920104
10937,0.7871444798325123
11038,0.6521748814004761
11138,0.7238914006993469
11215,0.7359183946190332
11310,0.8022895832869323
11408,0.7804628165437977
11508,0.7715539321588448
11608,0.7506180538542055
11708,0.7301276197688139
11786,0.7644268246508825
11881,0.7755629301320737
11978,0.727454954453328
12078,0.6820196440900682
12178,0.7804628165437977
12278,0.8414886745807251
12356,0.7060736319294411
12452,0.8339161228535151
12548,0.7924898104634841
12647,0.6294572262188461
12748,0.4374707677231113
12848,0.8575246664736402
12926,0.8477248936501921
13021,0.7488362769772149
13118,0.8405977861422298
13218,0.42678010646116776
13318,0.7572997171429202
13418,1.434820374618588
13497,0.8370342323882486
13608,0.7782355954475595
13687,0.7550724960466819
13798,0.7265640660148327
13877,0.7532907191696914
13988,0.8143165772066188
14067,0.7880353682710077
14178,0.733691173522795
14257,0.7510634980734532
14368,0.7724448205973401
14447,0.7911534778057412
14557,0.7572997171429202
14637,0.6824650883093158
14748,0.5630860375509471
14827,0.9608677253390938
14938,0.9078598632486241
15018,0.7519543865119485
15127,0.7969442526559606
15208,0.7755629301320737
15318,0.6967193033252405
15398,0.733691173522795
15508,0.759972382458406
15588,0.7323548408650521
15698,0.7657631573086254
15778,0.8013986948484371
15888,0.8013986948484371
15968,0.7666540457471207
16078,0.7319093966458045
16158,0.762645047773892
16268,0.7853627029555218
16348,0.7541816076081866
16457,0.7452727232232338
16538,0.7572997171429202
16648,0.7408182810307573
16729,0.741263725250005
16838,0.7568542729236726
16919,0.7510634980734532
17028,0.7746720416935783
17109,0.788926256709503
17218,0.7835809260785312
17299,0.7853627029555218
17408,0.7617541593353966
17489,0.7711084879395972
17598,0.7711084879395972
17679,0.7564088287044249
17788,0.727454954453328
17869,0.7256731775763374
17978,0.7572997171429202
18059,0.7715539321588448
18168,0.7541816076081866
18249,0.762645047773892
18358,0.7702175995011019
18440,0.7528452749504437
18548,0.7510634980734532
18630,0.7693267110626066
18738,0.7786810396668071
18820,0.7840263702977789
18928,0.7782355954475595
19010,0.7577451613621679
19117,0.7666540457471207
19218,0.78001737232455
19295,0.7880353682710077
19390,0.7844718145170265
19488,0.7483908327579673
