time_ms,force_N
80,55.53535713490279
189,59.57598164769817
270,64.58411100469944
380,70.3027238914007
460,77.77104167130672
570,85.11240784872716
650,77.42359518029356
760,78.32918327802402
840,94.77320207577007
950,105.3672019421368
1030,115.58791955277401
1140,127.04608120448117
1220,139.45882981803604
1330,153.4907681685561
1410,164.88567674113008
1520,156.95988774805676
1600,146.132029666585
1710,134.06717298826254
1790,91.58738501971092
1900,33.91973095169158
1980,13.668054967816655
2090,15.83647742711419
2170,16.632040802690483
2280,13.513485823737723
2360,12.204325263368895
2470,13.332190026503932
2550,18.77150938773692
2660,24.349807345375176
2740,22.09675048442059
2850,15.787478562996949
2931,11.722800062362191
3040,10.404285173389162
3120,10.167754292968663
3230,10.003830820285529
3310,11.722354618142944
3420,16.325575179848105
3500,21.42546604601439
3610,31.31744582284684
3690,46.699971046125754
3800,58.9470144101205
3880,63.413483596516635
3990,67.81536337112186
4070,74.86808169446982
4180,79.0525846900822
4260,81.06777433795854
4370,86.61177309071472
4450,94.04178266776545
4560,98.84678946078978
4640,100.54170471502707
4750,104.85093209202878
4830,110.02253947749394
4940,111.73883605425512
5020,117.77193255974521
5130,129.08888839395087
5210,138.4534622151941
5320,143.65758702866432
5400,144.87810418940288
5510,146.41711396690349
5590,152.96202588030914
5699,159.73277801287335
5780,163.59388850531192
5890,166.27947170315596
5970,168.88843849528942
6080,171.62123878037374
6160,174.6988128911557
6270,176.94028820240985
6350,177.65255350898684
6460,181.73193166885676
6540,187.1369518252077
6650,191.28091939686854
6730,195.75585202343038
6840,198.3657097040023
6920,199.94480946123522
7030,204.8389050981091
7110,209.13833270228736
7220,210.44348426468295
7300,213.5486759170583
7410,220.53769571705385
7490,226.00685984097643
7600,230.7512862201831
7680,236.83159981291342
7790,238.74611906723982
7870,242.52081338114436
7979,251.70141873983832
8060,260.2886923984944
8170,263.37027550724963
8250,264.8273235484087
8360,270.7022873560658
8440,274.32018530479525
8550,278.0160359918929
8630,282.3800530078621
8740,286.4808124902559
8820,292.756676095236
8930,299.34880509588186
9010,303.02104723935946
9120,304.245127953852
9200,308.3962226330208
9310,315.1540568832268
9390,318.8953428806878
9499,322.6375197665872
9580,327.81625425956037
9690,331.74863582707854
9770,337.75990556582553
9880,344.3257533575358
9960,345.4576271186441
10070,242.09185059800888
10150,39.81830330296889
10260,0.8664335508585932
10340,0.6846923094055541
10450,0.739927392592262
10530,0.6740016481436106
10640,0.6103031247911974
10720,0.6526203256197237
10830,0.7608632708969013
10910,0.6833559767478111
11020,0.647274994988752
11100,0.7728902648165877
11210,0.7982805853137035
11290,0.8098621350141423
11399,0.8040713601639229
11480,0.6971647475444881
11590,0.6855831978440494
11670,0.8147620214258664
11780,0.9234504109222916
11860,0.8655426624200979
11970,0.6699926501703818
12050,0.6419296643577802
12160,0.8196619078375904
12240,0.9657676117508179
12350,0.8236709058108193
12430,0.7247822891378422
12540,0.6971647475444881
12620,0.7114189625604128
12730,0.8174346867413522
12810,0.9399318470344545
12920,0.7421546136885002
13000,0.68736497472104
13110,0.793826143121227
13190,0.930577518430254
13300,0.9185505245105676
13380,0.693601193790507
13490,0.6356934452883132
13570,0.8762333236820413
13679,0.8993964230829189
13760,0.6601928773469337
13870,0.5898126907058058
13950,0.8325797901957721
14060,0.8869239849439848
14140,0.7265640660148327
14250,0.7319093966458045
14330,0.8236709058108193
14440,0.7702175995011019
14520,0.7711084879395972
14630,0.7002828570792217
14710,0.673556203924363
14820,0.8307980133187816
14900,0.8561883338158973
15010,0.7439363905654909
15090,0.6989465244214788
15200,0.7492817211964626
15281,0.7350275061805379
15390,0.7532907191696914
15470,0.7639813804316349
15580,0.7577451613621679
15660,0.7559633844851773
15770,0.773781153255083
15850,0.7773447070090642
15960,0.7501726096349579
16040,0.7621996035546443
16150,0.7461636116617291
16230,0.747499944319472
16340,0.7439363905654909
16420,0.7363638388382809
16530,0.6864740862825447
16610,0.6789015345553348
16720,0.9185505245105676
16800,0.7363638388382809
16910,0.5568498184814801
16990,0.31898260540323775
17100,0.647274994988752
17180,1.0125392547718206
17290,0.8855876522862419
17370,0.8054076928216658
17480,0.800062362190694
17560,0.6918194169135164
17670,0.9163233034143293
17750,0.773781153255083
17860,0.8263435711263051
17940,0.7635359362123872
18050,0.753736163388939
18130,0.7693267110626066
18240,0.739927392592262
18320,0.7363638388382809
18430,0.7746720416935783
18510,0.7902625893672459
18620,0.767544934185616
18701,0.7795719281053024
18810,0.6530657698389714
18890,0.7973896968752082
18999,0.8223345731530763
19080,0.7595269382391584
19190,0.7581906055814155
19270,0.6615292100046766
19380,0.7034009666139551
19460,0.8111984676718852
19570,0.7666540457471207
19650,0.7279003986725756
19760,0.7697721552818543
19840,0.8005078064099417
19950,0.8111984676718852
20030,0.7862535913940171
20140,0.7679903784048636
20220,0.7630904919931396
