time_ms,force_N
96,74.6172965990334
196,90.35884986302591
296,106.04650437648947
396,123.38497516648478
475,141.6125526180984
586,156.30374841310498
665,167.54720595113477
775,177.15053787389473
855,188.2755072496047
965,201.7426223301187
1045,216.68994855119269
1156,231.52858638277021
1235,247.1071070625181
1345,261.63259760796456
1425,262.7644713690728
1536,248.67729793536606
1615,232.6698144724827
1725,188.89066571638568
1805,95.7019532729014
1915,40.40495333971804
1995,47.16857836477428
2106,59.77687699057886
2185,65.47232677787925
2296,62.828615336644475
2375,69.62653956658278
2486,79.59602663756432
2565,67.50845230406023
2676,50.64215238646741
2755,45.16541571081762
2866,61.773357981246804
2945,96.1291342791599
3056,116.38971914741978
3135,140.71275529521816
3246,172.9513352190472
3325,185.24247756074746
3436,179.2949063453529
3515,175.09258558097062
3626,172.56825319049423
3705,171.14995879640972
3816,172.64130604245085
3895,177.26858059199537
4006,184.11194013229695
4085,197.19062785362703
4196,213.1103588053186
4276,224.78233368226464
4385,235.4427047372993
4466,245.98904207220653
4576,252.6119067239805
4656,254.5473618566115
4766,255.82845943116774
4846,261.53148177019534
4956,269.0844339517584
5036,272.1989799327379
5145,273.02394262678456
5226,274.3892291587786
5336,278.03251742800506
5416,284.9765473618566
5526,289.02385353794074
5606,291.91968640726964
5716,297.1296019955901
5796,301.5443996525535
5906,304.43711441234774
5986,308.6269627385911
6096,312.3406311944587
6176,314.80661039221366
6285,318.61293124568476
6366,323.0838548742734
6476,329.7868994855119
6556,336.68593955321944
6666,342.43395175839106
6746,347.925388093276
6855,352.1909619367915
6936,356.93806098131364
7046,363.865609479053
7126,371.5477404841979
7236,379.97242700282857
7316,387.3538831599813
7426,392.004766253146
7526,395.14158444508786
7605,399.83656651595805
7706,406.33426134212345
7806,412.28806877658747
7886,416.5750239426268
7996,421.3925031737901
8076,426.0518497071204
8185,429.99848548965457
8267,433.8938951869752
8376,440.3100737210183
8456,446.36143343949755
8565,451.1009599322925
8646,456.5910599345197
8756,462.53462215194105
8836,468.53431034098764
8936,473.337535357135
9036,476.8427359183947
9136,480.2775562930133
9216,484.73511659502446
9326,488.5886545357358
9407,491.69919151874217
9516,495.56520189759243
9597,498.3928818013765
9706,500.5283413884497
9787,503.7591483106529
9896,508.46214837746953
9977,513.4137063186263
10086,518.2824116350031
10167,521.4259114902337
10276,523.7796387447382
10376,526.2745718167444
10452,529.6799928728926
10547,534.8173010534757
10645,540.7328002850844
10746,544.6571638566561
10846,546.7574333504087
10927,548.745450900911
11036,550.9352546827324
11136,554.2823225461592
11212,558.9323147508854
11307,563.3622575113033
11406,567.4964253101406
11506,571.2252388694627
11606,576.1095347335131
11706,581.5399452103611
11782,587.1311610503576
11877,595.3883605425511
11976,603.07405510145
12076,606.9342747054501
12176,610.175326844696
12276,614.4965812156173
12352,620.286019733179
12447,627.4171362391146
12545,632.2234793647966
12646,636.3117664090515
12746,640.8138711329875
12827,644.8228691062162
12936,648.8309761910066
13017,654.2769772155283
13126,659.8877926011717
13207,664.1645025501682
13316,667.7173656428874
13416,670.0737655627075
13492,672.1424085168936
13587,674.2137241363952
13685,677.3826143121229
13786,681.190716942471
13886,685.910643889619
13967,689.1365509254105
14076,691.38069890198
14176,694.1927882580904
14252,696.6476313503642
14347,699.3960221831222
14445,703.1346355152677
14545,705.5092986480769
14646,707.1881779104212
14727,709.0354350876413
14836,711.0016258714004
14936,714.145125726631
15012,717.452994498764
15107,720.908305307468
15206,723.7787478562998
15306,724.9640749237178
15406,727.3418561660617
15488,731.5936212387804
15596,735.7433795852916
15678,739.632998507762
15786,744.9043853983386
15867,750.2350163700752
15976,752.5553353081361
16076,754.8150738323794
16153,758.6334216797702
16248,763.6825319049423
16346,768.1681551927661
16446,771.4987416200808
16546,773.7019087284796
16646,775.5206574756677
16723,777.9706006815297
16818,783.6446691463062
16916,790.3053965567163
17016,794.0088197955412
17116,796.7358293057753
17198,799.6530434976281
17306,802.8802868660773
17388,805.7133121004923
17495,807.6077863649525
17596,808.7151606940022
17673,809.707610414486
17768,809.9762132786923
17866,809.1637230227846
17966,809.6256486781443
18066,813.1816298803983
18166,819.0133855987885
18243,822.483841510947
18338,823.2134791420746
18436,825.0919174146419
18535,828.4434397202612
18636,832.1686897258292
18736,835.3696518853428
18813,839.5964720817836
18908,846.6122185349341
19006,852.7183678923808
19106,858.0111361054813
19206,864.9057217309963
19306,870.5771175304574
19383,872.1584445087865
19478,873.5927748947639
19576,876.6413951312948
19675,883.9083721241009
19776,890.6336889463018
19858,894.2128332479566
19966,898.7381010712935
20065,903.849128042941
20143,909.3681819194193
20238,913.6092563308761
20336,916.8160092652399
20436,919.8708657208402
20536,924.0375509476827
20636,927.7984364907906
20713,929.9543865119491
20808,932.3566671863517
20906,937.0311588231365
21006,942.3836165616162
21106,947.293748190383
21206,950.5218824472706
21283,953.5843114545983
21378,956.1228980600905
21476,959.6695249337403
21576,964.4709681730106
21676,968.7062518096172
21776,972.6448695962049
21854,976.2734582061962
21949,979.7728679926057
